title,content,publishedAt,processed_title,ner_title,processed_content,ner_content
Jensen Huang thinks we're all going to have our own R2-D2 or C-3PO robots follow us around,"Jensen Huang sees the next wave of AI as being physical. JOSH EDELSON/Getty Images
<ul><li>Nvidia CEO Jensen Huang predicts a future with personal robots like R2-D2 and C-3PO from Star Wars.</li><li… [+2218 chars]",2024-09-19,jensen huang think we 're go r2-d2 c-3po robot follow u around,"(S
  jensen/NN
  huang/NN
  thinks/VBZ
  we/PRP
  're/VBP
  going/VBG
  r2-d2/JJ
  c-3po/JJ
  robots/NNS
  follow/VBP
  us/PRP
  around/IN)",jensen huang see next wave ai physical . josh edelson/getty image < ul > < li > nvidia ceo jensen huang predict future personal robot like r2-d2 c-3po star wars. < /li > < li… [ +2218 char ],"(S
  jensen/NN
  huang/NN
  sees/NNS
  next/JJ
  wave/NN
  ai/JJ
  physical/JJ
  ./.
  josh/NN
  edelson/getty/JJ
  images/NNS
  </VBP
  ul/JJ
  >/NNP
  </NNP
  li/VBZ
  >/JJ
  nvidia/JJ
  ceo/NN
  jensen/NN
  huang/NN
  predicts/VBZ
  future/JJ
  personal/JJ
  robots/NNS
  like/IN
  r2-d2/JJ
  c-3po/JJ
  star/NN
  wars./NN
  </NNP
  /li/NNP
  >/NNP
  </NNP
  li…/VBZ
  [/NNP
  +2218/NNP
  chars/VBZ
  ]/VB)"
The AI boom turned Nvidia into a trillion-dollar giant. Its next big bet is even more complex.,"ktsimage/Getty,Justin Sullivan/Getty, Tyler Le/BI
<ul><li>Nvidia's gaming past and mastering of the GPU made it well-positioned for the AI boom.</li><li>Its next market to corner is advanced robotic… [+9784 chars]",2024-10-01,ai boom turn nvidia trillion-dollar giant . next big bet even complex .,"(S
  ai/NN
  boom/NN
  turned/VBD
  nvidia/JJ
  trillion-dollar/JJ
  giant/NN
  ./.
  next/JJ
  big/JJ
  bet/NN
  even/RB
  complex/JJ
  ./.)","ktsimage/getty , justin sullivan/getty , tyler le/bi < ul > < li > nvidia 's gaming past master gpu make well-positioned ai boom. < /li > < li > it next market corner advance robotic… [ +9784 char ]","(S
  ktsimage/getty/NN
  ,/,
  justin/NN
  sullivan/getty/NN
  ,/,
  tyler/NN
  le/bi/NN
  </NNP
  ul/JJ
  >/NNP
  </NNP
  li/VBZ
  >/NNP
  nvidia/NN
  's/POS
  gaming/NN
  past/IN
  mastering/VBG
  gpu/NN
  made/VBD
  well-positioned/JJ
  ai/JJ
  boom./NN
  </NNP
  /li/NNP
  >/NNP
  </NNP
  li/VBZ
  >/VB
  its/PRP$
  next/JJ
  market/NN
  corner/NN
  advanced/VBD
  robotic…/JJ
  [/NNP
  +9784/NNP
  chars/VBZ
  ]/VB)"
"After Jensen Huang's Nvidia wipeout, no one has gained more wealth than Mark Zuckerberg in 2024 — becoming $54 billion richer","Meta CEO Mark Zuckerberg (left) and Nvidia CEO Jensen Huang (right).STR/JIJI Press/AFP via Getty Images; Josh Edelson/AFP via Getty Images
<ul><li>Mark Zuckerberg's fortune has ballooned by $54 bill… [+2004 chars]",2024-09-05,"jensen huang 's nvidia wipeout , one gain wealth mark zuckerberg 2024 — become $ 54 billion richer","(S
  jensen/NN
  huang/NN
  's/POS
  nvidia/NN
  wipeout/NN
  ,/,
  one/CD
  gained/VBD
  wealth/NN
  mark/NN
  zuckerberg/NN
  2024/CD
  —/NN
  becoming/VBG
  $/$
  54/CD
  billion/CD
  richer/NNS)",meta ceo mark zuckerberg ( leave ) nvidia ceo jensen huang ( right ) .str/jiji press/afp via getty image ; josh edelson/afp via getty image < ul > < li > mark zuckerberg 's fortune balloon $ 54 bill… [ +2004 char ],"(S
  meta/NN
  ceo/NN
  mark/NN
  zuckerberg/NN
  (/(
  left/VBN
  )/)
  nvidia/FW
  ceo/NN
  jensen/NN
  huang/NN
  (/(
  right/JJ
  )/)
  .str/jiji/FW
  press/afp/NN
  via/IN
  getty/JJ
  images/NNS
  ;/:
  josh/CC
  edelson/afp/VB
  via/IN
  getty/JJ
  images/NNS
  </VBP
  ul/JJ
  >/NNP
  </NNP
  li/NN
  >/NNP
  mark/NNP
  zuckerberg/NNP
  's/POS
  fortune/NN
  ballooned/VBD
  $/$
  54/CD
  bill…/NN
  [/NNP
  +2004/NNP
  chars/VBZ
  ]/VB)"
Nvidia just recorded the biggest single-day wipeout by a US company,"Nvidia's stock fell 9.5% due to concerns about AI and the US economy.Michael M. Santiago/Getty; Jenny Chang-Rodriguez/BI
<ul><li>Nvidia's stock fell 9.5% due to concerns about AI and the US economy.… [+2930 chars]",2024-09-04,nvidia record big single-day wipeout u company,"(S
  nvidia/RB
  recorded/VBN
  biggest/JJS
  single-day/JJ
  wipeout/NN
  us/PRP
  company/NN)",nvidia 's stock fell 9.5 % due concern ai u economy.michael m. santiago/getty ; jenny chang-rodriguez/bi < ul > < li > nvidia 's stock fell 9.5 % due concern ai u economy.… [ +2930 char ],"(S
  nvidia/NN
  's/POS
  stock/NN
  fell/VBD
  9.5/CD
  %/NN
  due/JJ
  concerns/NNS
  ai/VBP
  us/PRP
  economy.michael/VBP
  m./JJ
  santiago/getty/NN
  ;/:
  jenny/CC
  chang-rodriguez/bi/JJ
  </NNP
  ul/NN
  >/NNP
  </NNP
  li/VBZ
  >/NNP
  nvidia/NN
  's/POS
  stock/NN
  fell/VBD
  9.5/CD
  %/NN
  due/JJ
  concerns/NNS
  ai/VBP
  us/PRP
  economy.…/JJ
  [/JJ
  +2930/NN
  chars/NNS
  ]/VBP)"
"Investors should worry that almost half of Nvidia's revenue in the second quarter came from just 4 customers, according to a tech analyst","Nvidia CEO Jensen Huang's company has four customers that account for nearly have of its revenue.I-HWA CHENG/AFP via Getty Images
<ul><li>Almost half of Nvidia's $30 billion revenue in the second qu… [+5402 chars]",2024-09-05,"investor worry almost half nvidia 's revenue second quarter come 4 customer , accord tech analyst","(S
  investors/NNS
  worry/VBP
  almost/RB
  half/JJ
  nvidia/NN
  's/POS
  revenue/NN
  second/JJ
  quarter/NN
  came/VBD
  4/CD
  customers/NNS
  ,/,
  according/VBG
  tech/JJ
  analyst/NN)",nvidia ceo jensen huang 's company four customer account nearly revenue.i-hwa cheng/afp via getty image < ul > < li > almost half nvidia 's $ 30 billion revenue second qu… [ +5402 char ],"(S
  nvidia/RB
  ceo/NN
  jensen/NN
  huang/NN
  's/POS
  company/NN
  four/CD
  customers/NNS
  account/VBP
  nearly/RB
  revenue.i-hwa/JJ
  cheng/afp/NN
  via/IN
  getty/JJ
  images/NNS
  </VBP
  ul/JJ
  >/NNP
  </NNP
  li/NN
  >/VBD
  almost/RB
  half/JJ
  nvidia/NN
  's/POS
  $/$
  30/CD
  billion/CD
  revenue/NN
  second/JJ
  qu…/NN
  [/NNP
  +5402/NNP
  chars/VBZ
  ]/VB)"
Sony’s new OLED gaming monitor is one of the fastest you can buy,"Sonys new OLED gaming monitor is one of the fastest you can buy
Sonys new OLED gaming monitor is one of the fastest you can buy
 / The new flagship 27-inch InZone M10S features variable refresh rat… [+2322 chars]",2024-09-24,sony ’ s new oled gaming monitor one fast buy,"(S
  sony/NN
  ’/NNP
  s/VBD
  new/JJ
  oled/JJ
  gaming/NN
  monitor/NN
  one/CD
  fastest/JJS
  buy/NN)",sonys new oled gaming monitor one fast buy sonys new oled gaming monitor one fast buy / new flagship 27-inch inzone m10s feature variable refresh rat… [ +2322 char ],"(S
  sonys/JJ
  new/JJ
  oled/VBN
  gaming/NN
  monitor/NN
  one/CD
  fastest/JJS
  buy/VB
  sonys/JJ
  new/JJ
  oled/VBN
  gaming/NN
  monitor/NN
  one/CD
  fastest/JJS
  buy/VB
  //NNP
  new/JJ
  flagship/NN
  27-inch/JJ
  inzone/NN
  m10s/NN
  features/VBZ
  variable/JJ
  refresh/JJ
  rat…/NN
  [/NNP
  +2322/NNP
  chars/VBZ
  ]/VB)"
EXCLUSIVE: Sen. Elizabeth Warren backs DOJ investigation into Nvidia antitrust allegations,"US Sen. Elizabeth Warren is warning that Nvidia, led by CEO Jensen Huang, has too much dominance in the chipmaking market.REUTERS/Andrew Kelly; SAM YEH/AFP via Getty Images
<ul><li>Sen. Elizabeth Wa… [+2888 chars]",2024-09-06,exclusive : sen. elizabeth warren back doj investigation nvidia antitrust allegation,"(S
  exclusive/JJ
  :/:
  sen./NN
  elizabeth/VBZ
  warren/JJ
  backs/NNS
  doj/VBP
  investigation/NN
  nvidia/RB
  antitrust/JJ
  allegations/NNS)","u sen. elizabeth warren warn nvidia , lead ceo jensen huang , much dominance chipmaking market.reuters/andrew kelly ; sam yeh/afp via getty image < ul > < li > sen . elizabeth wa… [ +2888 char ]","(S
  us/PRP
  sen./VBP
  elizabeth/JJ
  warren/NNS
  warning/VBG
  nvidia/NN
  ,/,
  led/VBD
  ceo/NN
  jensen/NN
  huang/NN
  ,/,
  much/JJ
  dominance/NN
  chipmaking/VBG
  market.reuters/andrew/VBD
  kelly/RB
  ;/:
  sam/CC
  yeh/afp/VB
  via/IN
  getty/JJ
  images/NNS
  </VBP
  ul/JJ
  >/NNP
  </NNP
  li/VBZ
  >/NNP
  sen/NN
  ./.
  elizabeth/CC
  wa…/JJ
  [/NNP
  +2888/NNP
  chars/VBZ
  ]/VB)"
What Nvidia leadership should be doing to prepare for a possible DOJ case,"Jensen Huang is the CEO of Nvidia. Noah Berger/Getty Images; Jenny Chang-Rodriguez/BI; Chelsea Jia Feng/BI
<ul><li>The Department of Justice is looking into Nvidia as part of an antitrust probe. </l… [+4875 chars]",2024-09-05,nvidia leadership prepare possible doj case,(S nvidia/JJ leadership/NN prepare/NN possible/JJ doj/NN case/NN),jensen huang ceo nvidia . noah berger/getty image ; jenny chang-rodriguez/bi ; chelsea jia feng/bi < ul > < li > the department justice look nvidia part antitrust probe . < /l… [ +4875 char ],"(S
  jensen/NN
  huang/NN
  ceo/NN
  nvidia/NN
  ./.
  noah/JJ
  berger/getty/JJ
  images/NNS
  ;/:
  jenny/JJ
  chang-rodriguez/bi/NN
  ;/:
  chelsea/NN
  jia/NN
  feng/bi/NN
  </NNP
  ul/JJ
  >/NNP
  </NNP
  li/VBZ
  >/VBP
  the/DT
  department/NN
  justice/NN
  looking/VBG
  nvidia/JJ
  part/NN
  antitrust/JJ
  probe/NN
  ./.
  </CC
  /l…/JJ
  [/NNP
  +4875/NNP
  chars/VBZ
  ]/VB)"
Why countries are in a race to build AI factories in the name of sovereign AI,"Join our daily and weekly newsletters for the latest updates and exclusive content on industry-leading AI coverage. Learn More
Now that AI has become a fundamentally important technology, and the wo… [+19185 chars]",2024-09-26,country race build ai factory name sovereign ai,"(S
  countries/NNS
  race/NN
  build/VBP
  ai/JJ
  factories/NNS
  name/VBP
  sovereign/JJ
  ai/NN)","join daily weekly newsletter late update exclusive content industry-leading ai coverage . learn ai become fundamentally important technology , wo… [ +19185 char ]","(S
  join/NNS
  daily/JJ
  weekly/JJ
  newsletters/NNS
  latest/JJS
  updates/NNS
  exclusive/JJ
  content/JJ
  industry-leading/JJ
  ai/NN
  coverage/NN
  ./.
  learn/NN
  ai/VBP
  become/VBN
  fundamentally/RB
  important/JJ
  technology/NN
  ,/,
  wo…/WP
  [/NNP
  +19185/NNP
  chars/VBZ
  ]/VB)"
AI chipmaker giant NVIDIA stock takes a historic $279 billion plunge,"NVIDIA shares have tanked almost 10% in the biggest single-day market value loss in U.S. history, spurring a massive sell off in large-cap tech stocks.
The company is widely known for making graphic… [+1094 chars]",2024-09-04,ai chipmaker giant nvidia stock take historic $ 279 billion plunge,"(S
  ai/NN
  chipmaker/NN
  giant/NN
  nvidia/JJ
  stock/NN
  takes/VBZ
  historic/JJ
  $/$
  279/CD
  billion/CD
  plunge/NN)","nvidia share tank almost 10 % big single-day market value loss u.s. history , spur massive sell large-cap tech stock . company widely know make graphic… [ +1094 char ]","(S
  nvidia/JJ
  shares/NNS
  tanked/VBD
  almost/RB
  10/CD
  %/NN
  biggest/JJS
  single-day/JJ
  market/NN
  value/NN
  loss/NN
  (GPE u.s./JJ)
  history/NN
  ,/,
  spurring/VBG
  massive/JJ
  sell/NN
  large-cap/JJ
  tech/NN
  stocks/NNS
  ./.
  company/NN
  widely/RB
  known/VBN
  making/VBG
  graphic…/JJ
  [/NNP
  +1094/NNP
  chars/VBZ
  ]/VB)"
"Nvidia chips are in such high demand that customers are 'emotional,' Huang said","Nvidia CEO Jensen Huang says product shortages are making customers emotional.Sam Yeh/AFP via Getty Images
<ul><li>Nvidia CEO Jensen Huang says product shortages are making customers emotional.</li>… [+2752 chars]",2024-09-12,"nvidia chip high demand customer 'emotional , ' huang say","(S
  nvidia/JJ
  chips/NNS
  high/JJ
  demand/NN
  customers/NNS
  'emotional/JJ
  ,/,
  '/''
  huang/NN
  said/VBD)",nvidia ceo jensen huang say product shortage make customer emotional.sam yeh/afp via getty image < ul > < li > nvidia ceo jensen huang say product shortage make customer emotional. < /li > … [ +2752 char ],"(S
  nvidia/RB
  ceo/NN
  jensen/NN
  huang/NN
  says/VBZ
  product/NN
  shortages/NNS
  making/VBG
  customers/NNS
  emotional.sam/JJ
  yeh/afp/JJ
  via/IN
  getty/JJ
  images/NNS
  </VBP
  ul/JJ
  >/NNP
  </NNP
  li/VBZ
  >/JJ
  nvidia/JJ
  ceo/NN
  jensen/NN
  huang/NN
  says/VBZ
  product/NN
  shortages/NNS
  making/VBG
  customers/NNS
  emotional./JJ
  </NNP
  /li/NNP
  >/NNP
  …/NNP
  [/NNP
  +2752/NNP
  chars/VBZ
  ]/VB)"
Nvidia CEO Jensen Huang tells David Solomon companies get things done 20 times faster with generative AI,"An analyst says Nvidia is leading the AI revolution in what appears to be a ""1995 moment.""Vincent Thian/AP
<ul><li>Nvidia CEO Jensen Huang discussed AI infrastructure ROI with Goldman Sachs CEO Davi… [+3097 chars]",2024-09-11,nvidia ceo jensen huang tell david solomon company get thing do 20 time faster generative ai,"(S
  nvidia/RB
  ceo/NN
  jensen/NN
  huang/NN
  tells/VBZ
  david/JJ
  solomon/NN
  companies/NNS
  get/VBP
  things/NNS
  done/VBN
  20/CD
  times/NNS
  faster/RBR
  generative/JJ
  ai/NN)",analyst say nvidia lead ai revolution appear `` 1995 moment . `` vincent thian/ap < ul > < li > nvidia ceo jensen huang discuss ai infrastructure roi goldman sachs ceo davi… [ +3097 char ],"(S
  analyst/NN
  says/VBZ
  nvidia/IN
  leading/VBG
  ai/JJ
  revolution/NN
  appears/VBZ
  ``/``
  1995/CD
  moment/NN
  ./.
  ``/``
  vincent/JJ
  thian/ap/NN
  </NNP
  ul/JJ
  >/NNP
  </NNP
  li/VBZ
  >/JJ
  nvidia/JJ
  ceo/NN
  jensen/NN
  huang/NN
  discussed/VBD
  ai/JJ
  infrastructure/NN
  roi/NN
  goldman/NN
  sachs/VBD
  ceo/JJ
  davi…/NN
  [/NNP
  +3097/NNP
  chars/VBZ
  ]/VB)"
Nvidia is in vogue — just ask the designer behind these viral GPU purses,"Tessa Barton started creating GPU purses last year.Tessa Barton
<ul><li>Nvidia's stock has surged due to the AI boom, making it a multi-trillion-dollar company.</li><li>The company and its CEO, Jens… [+3132 chars]",2024-09-17,nvidia vogue — ask designer behind viral gpu purse,"(S
  nvidia/RB
  vogue/NN
  —/NNP
  ask/NN
  designer/NN
  behind/IN
  viral/JJ
  gpu/NN
  purses/NNS)","tessa barton start create gpu purse last year.tessa barton < ul > < li > nvidia 's stock surge due ai boom , make multi-trillion-dollar company. < /li > < li > the company ceo , jens… [ +3132 char ]","(S
  tessa/JJ
  barton/NN
  started/VBD
  creating/VBG
  gpu/NN
  purses/NNS
  last/JJ
  year.tessa/JJ
  barton/NN
  </NNP
  ul/JJ
  >/NNP
  </NNP
  li/VBZ
  >/NNP
  nvidia/NN
  's/POS
  stock/NN
  surged/VBD
  due/JJ
  ai/NN
  boom/NN
  ,/,
  making/VBG
  multi-trillion-dollar/JJ
  company./NN
  </NNP
  /li/NNP
  >/NNP
  </NNP
  li/VBZ
  >/IN
  the/DT
  company/NN
  ceo/NN
  ,/,
  jens…/NN
  [/NNP
  +3132/NNP
  chars/VBZ
  ]/VB)"
